PK;Season;Team;Position;Points;Round;Qty_match_home_T6;Qty_match_away_T6;Qty_match_home_T7_T14;Qty_match_away_T7_T14;Qty_match_home_L6;Qty_match_away_L6
Palmeiras2018;2018;Palmeiras;1;63;31;0;2;3;1;1;0
Flamengo2018;2018;Flamengo;2;59;31;0;2;3;1;1;0
Internacional2018;2018;Internacional;3;58;31;0;2;3;1;1;0
São Paulo2018;2018;São Paulo;4;56;31;1;0;2;1;1;2
Gremio2018;2018;Gremio;5;52;31;0;2;3;1;1;0
Atletico-MG2018;2018;Atletico-MG;6;46;31;2;1;1;1;1;1
Santos2018;2018;Santos;7;46;31;1;0;2;1;1;2
Atletico-PR2018;2018;Atletico-PR;8;43;31;2;1;1;1;1;1
Cruzeiro2018;2018;Cruzeiro;9;43;31;0;2;3;1;1;0
Fluminense2018;2018;Fluminense;10;40;31;0;2;3;1;1;0
Corinthians2018;2018;Corinthians;11;39;31;0;2;3;1;1;0
Bahia2018;2018;Bahia;12;37;31;2;1;1;1;1;1
Ceara2018;2018;Ceara;13;37;31;0;2;3;1;1;0
Vasco2018;2018;Vasco;14;35;31;1;0;1;3;1;1
Botafogo2018;2018;Botafogo;15;35;31;2;1;1;1;1;1
America-MG2018;2018;America-MG;16;34;31;0;2;3;1;1;0
Chapecoense2018;2018;Chapecoense;17;34;31;0;2;3;1;1;0
Sport2018;2018;Sport;18;33;31;1;1;2;1;1;1
Vitoria2018;2018;Vitoria;19;33;31;1;0;1;3;1;1
Parana2018;2018;Parana;20;17;31;3;0;0;1;1;2
