PK;Season;Team;Position;Points;Round;Qty_match_home_T6;Qty_match_away_T6;Qty_match_home_T7_T14;Qty_match_away_T7_T14;Qty_match_home_L6;Qty_match_away_L6;FLG_Sucess_Champ;FLG_Sucess_Libert;FLG_Sucess_Z4
Corinthians2017;2017;Corinthians;1;59;31;1;0;2;2;1;1;1;1;0
Palmeiras2017;2017;Palmeiras;2;54;31;1;1;1;1;1;2;0;1;0
Santos2017;2017;Santos;3;53;31;1;0;2;3;1;0;0;1;0
Gremio2017;2017;Gremio;4;51;31;0;1;2;1;2;1;0;1;0
Cruzeiro2017;2017;Cruzeiro;5;48;31;0;1;3;1;1;1;0;1;0
Botafogo2017;2017;Botafogo;6;48;31;1;1;2;1;1;1;0;0;0
Flamengo2017;2017;Flamengo;7;47;31;3;2;0;0;0;2;0;1;0
Vasco2017;2017;Vasco;8;44;31;0;2;2;1;2;0;0;0;0
Atletico-PR2017;2017;Atletico-PR;9;42;31;2;2;1;0;0;2;0;0;0
Atletico-MG2017;2017;Atletico-MG;10;42;31;1;2;0;2;2;0;0;0;0
São Paulo2017;2017;São Paulo;11;40;31;1;1;2;1;0;2;0;0;0
Chapecoense2017;2017;Chapecoense;12;39;31;1;0;0;2;3;1;0;0;0
Bahia2017;2017;Bahia;13;39;31;1;0;2;1;1;2;0;0;0
Fluminense2017;2017;Fluminense;14;39;31;0;3;0;0;3;1;0;0;0
Sport2017;2017;Sport;15;35;31;2;1;1;2;0;1;0;0;0
Coritiba2017;2017;Coritiba;16;35;31;0;0;2;3;2;0;0;0;1
Ponte Preta2017;2017;Ponte Preta;17;35;31;1;0;1;3;1;1;0;0;1
Avai2017;2017;Avai;18;35;31;1;3;2;0;0;1;0;0;1
Vitoria2017;2017;Vitoria;19;34;31;2;1;1;2;0;1;0;0;0
Atletico-GO2017;2017;Atletico-GO;20;27;31;0;2;3;1;1;0;0;0;1
Fluminense2012;2012;Fluminense;1;69;31;1;3;1;0;0;2;1;1;0
Atletico-MG2012;2012;Atletico-MG;2;60;31;1;1;1;3;1;0;0;1;0
Gremio2012;2012;Gremio;3;58;31;2;0;3;1;0;1;0;1;0
São Paulo2012;2012;São Paulo;4;55;31;2;1;2;1;0;1;0;1;0
Vasco2012;2012;Vasco;5;50;31;2;1;0;1;3;0;0;1;0
Internacional2012;2012;Internacional;6;45;31;0;2;2;3;0;0;0;0;0
Botafogo2012;2012;Botafogo;7;44;31;1;0;1;0;0;5;0;0;0
Cruzeiro2012;2012;Cruzeiro;8;43;31;0;2;3;0;1;1;0;0;0
Corinthians2012;2012;Corinthians;9;43;31;0;2;2;0;1;2;0;1;0
Santos2012;2012;Santos;10;42;31;0;0;0;4;2;1;0;0;0
Coritiba2012;2012;Coritiba;11;41;31;3;1;0;2;1;0;0;0;0
Nautico2012;2012;Nautico;12;40;31;2;1;1;0;2;1;0;0;0
Portuguesa2012;2012;Portuguesa;13;38;31;1;1;1;2;2;0;0;0;0
Ponte Preta2012;2012;Ponte Preta;14;37;31;2;2;1;1;0;1;0;0;0
Flamengo2012;2012;Flamengo;15;37;31;1;1;1;1;3;0;0;0;0
Bahia2012;2012;Bahia;16;35;31;0;0;2;4;0;1;0;0;0
Sport2012;2012;Sport;17;30;31;1;2;1;1;0;2;0;0;1
Palmeiras2012;2012;Palmeiras;18;29;31;1;0;3;1;1;1;0;0;1
Figueirense2012;2012;Figueirense;19;28;31;1;0;1;2;1;2;0;0;1
Atletico-GO2012;2012;Atletico-GO;20;23;31;0;1;3;0;2;1;0;0;1
Palmeiras2016;2016;Palmeiras;1;64;31;1;2;2;0;1;1;1;1;0
Flamengo2016;2016;Flamengo;2;60;31;2;2;1;0;1;1;0;1;0
Atletico-MG2016;2016;Atletico-MG;3;56;31;2;0;1;1;1;2;0;1;0
Santos2016;2016;Santos;4;55;31;1;1;0;3;2;0;0;1;0
Botafogo2016;2016;Botafogo;5;50;31;0;2;2;1;1;1;0;1;0
Atletico-PR2016;2016;Atletico-PR;6;48;31;1;0;2;2;0;2;0;1;0
Corinthians2016;2016;Corinthians;7;48;31;1;1;1;2;1;1;0;0;0
Gremio2016;2016;Gremio;8;47;31;1;0;1;1;2;2;0;0;0
Fluminense2016;2016;Fluminense;9;46;31;1;0;0;2;2;2;0;0;0
Ponte Preta2016;2016;Ponte Preta;10;45;31;1;1;1;2;1;1;0;0;0
Chapecoense2016;2016;Chapecoense;11;42;31;2;2;1;1;1;0;0;0;0
São Paulo2016;2016;São Paulo;12;39;31;0;1;3;1;1;1;0;0;0
Cruzeiro2016;2016;Cruzeiro;13;38;31;1;1;2;1;0;2;0;0;0
Sport2016;2016;Sport;14;37;31;0;2;2;1;1;1;0;0;0
